date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:49	76084/76084	---M--	200	added ('OK')	application/font-woff2	etag:%22b7f484af7bcd51:0%22	https://elperuano.pe/static/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/copia/elperuano.pe/static/webfonts/fa-solid-900.woff2	(from https://elperuano.pe/static/css/all.css?v01)
18:35:49	98996/98996	---M--	200	added ('OK')	font/x-woff	etag:%22403284af7bcd51:0%22	https://elperuano.pe/static/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/copia/elperuano.pe/static/webfonts/fa-solid-900.woff	(from https://elperuano.pe/static/css/all.css?v01)
18:35:50	193780/193780	---M--	200	added ('OK')	application/octet-stream	etag:%22b69683af7bcd51:0%22	https://elperuano.pe/static/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/copia/elperuano.pe/static/webfonts/fa-solid-900.ttf	(from https://elperuano.pe/static/css/all.css?v01)
18:35:50	94418/94418	---M-Z	200	added ('OK')	image/svg+xml	etag:%22805284c75edd81:0%22	https://elperuano.pe/static/img/elperuano_blanco_logo.svg	C:/My%20Web%20Sites/copia/elperuano.pe/static/img/elperuano_blanco_logo.svg	(from https://elperuano.pe/static/css/style.css?v20211215)
18:35:50	849145/849145	---M--	200	added ('OK')	image/svg+xml	etag:%22ffb82af7bcd51:0%22	https://elperuano.pe/static/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/copia/elperuano.pe/static/webfonts/fa-solid-900.svg	(from https://elperuano.pe/static/css/all.css?v01)
18:35:51	158624/158624	---M--	200	added ('OK')	application/octet-stream	etag:%22be2c2082e3aad51:0%22	https://elperuano.pe/static/fonts/IBMPlexSerif-Thin.ttf	C:/My%20Web%20Sites/copia/elperuano.pe/static/fonts/IBMPlexSerif-Thin.ttf	(from https://elperuano.pe/static/css/style.css?v20211215)
18:35:51	161280/161280	---M--	200	added ('OK')	application/octet-stream	etag:%222a92782e3aad51:0%22	https://elperuano.pe/static/fonts/IBMPlexSerif-ExtraLight.ttf	C:/My%20Web%20Sites/copia/elperuano.pe/static/fonts/IBMPlexSerif-ExtraLight.ttf	(from https://elperuano.pe/static/css/style.css?v20211215)
18:35:51	166192/166192	---M--	200	added ('OK')	application/octet-stream	etag:%2264eb2282e3aad51:0%22	https://elperuano.pe/static/fonts/IBMPlexSerif-ThinItalic.ttf	C:/My%20Web%20Sites/copia/elperuano.pe/static/fonts/IBMPlexSerif-ThinItalic.ttf	(from https://elperuano.pe/static/css/style.css?v20211215)
18:35:51	169436/169436	---M--	200	added ('OK')	application/octet-stream	etag:%2239d5982e3aad51:0%22	https://elperuano.pe/static/fonts/IBMPlexSerif-ExtraLightItalic.ttf	C:/My%20Web%20Sites/copia/elperuano.pe/static/fonts/IBMPlexSerif-ExtraLightItalic.ttf	(from https://elperuano.pe/static/css/style.css?v20211215)
18:35:52	160064/160064	---M--	200	added ('OK')	application/octet-stream	etag:%22a09ce82e3aad51:0%22	https://elperuano.pe/static/fonts/IBMPlexSerif-Light.ttf	C:/My%20Web%20Sites/copia/elperuano.pe/static/fonts/IBMPlexSerif-Light.ttf	(from https://elperuano.pe/static/css/style.css?v20211215)
18:35:52	168484/168484	---M--	200	added ('OK')	application/octet-stream	etag:%2282c1182e3aad51:0%22	https://elperuano.pe/static/fonts/IBMPlexSerif-LightItalic.ttf	C:/My%20Web%20Sites/copia/elperuano.pe/static/fonts/IBMPlexSerif-LightItalic.ttf	(from https://elperuano.pe/static/css/style.css?v20211215)
18:35:52	160352/160352	---M--	200	added ('OK')	application/octet-stream	etag:%221cad1882e3aad51:0%22	https://elperuano.pe/static/fonts/IBMPlexSerif-Regular.ttf	C:/My%20Web%20Sites/copia/elperuano.pe/static/fonts/IBMPlexSerif-Regular.ttf	(from https://elperuano.pe/static/css/style.css?v20211215)
18:35:52	161344/161344	---M--	200	added ('OK')	application/octet-stream	etag:%2290bc1382e3aad51:0%22	https://elperuano.pe/static/fonts/IBMPlexSerif-Medium.ttf	C:/My%20Web%20Sites/copia/elperuano.pe/static/fonts/IBMPlexSerif-Medium.ttf	(from https://elperuano.pe/static/css/style.css?v20211215)
18:35:53	170232/170232	---M--	200	added ('OK')	application/octet-stream	etag:%2258291682e3aad51:0%22	https://elperuano.pe/static/fonts/IBMPlexSerif-MediumItalic.ttf	C:/My%20Web%20Sites/copia/elperuano.pe/static/fonts/IBMPlexSerif-MediumItalic.ttf	(from https://elperuano.pe/static/css/style.css?v20211215)
18:35:53	161780/161780	---M--	200	added ('OK')	application/octet-stream	etag:%22311b82e3aad51:0%22	https://elperuano.pe/static/fonts/IBMPlexSerif-SemiBold.ttf	C:/My%20Web%20Sites/copia/elperuano.pe/static/fonts/IBMPlexSerif-SemiBold.ttf	(from https://elperuano.pe/static/css/style.css?v20211215)
18:35:53	170704/170704	---M--	200	added ('OK')	application/octet-stream	etag:%22cc971d82e3aad51:0%22	https://elperuano.pe/static/fonts/IBMPlexSerif-SemiBoldItalic.ttf	C:/My%20Web%20Sites/copia/elperuano.pe/static/fonts/IBMPlexSerif-SemiBoldItalic.ttf	(from https://elperuano.pe/static/css/style.css?v20211215)
18:35:53	161076/161076	---M--	200	added ('OK')	application/octet-stream	etag:%22354382e3aad51:0%22	https://elperuano.pe/static/fonts/IBMPlexSerif-Bold.ttf	C:/My%20Web%20Sites/copia/elperuano.pe/static/fonts/IBMPlexSerif-Bold.ttf	(from https://elperuano.pe/static/css/style.css?v20211215)
18:35:54	170008/170008	---M--	200	added ('OK')	application/octet-stream	etag:%22aa4b582e3aad51:0%22	https://elperuano.pe/static/fonts/IBMPlexSerif-BoldItalic.ttf	C:/My%20Web%20Sites/copia/elperuano.pe/static/fonts/IBMPlexSerif-BoldItalic.ttf	(from https://elperuano.pe/static/css/style.css?v20211215)
